,제목,가사,장르
0,이제 나만 믿어요,"무얼 믿은 걸까 부족했던 내게서
나조차 못 믿던 내게 여태 머문 사람
무얼 봤던 걸까 가진 것도 없던 내게
무작정 내 손을 잡아 날 이끈 사람
최고였어
그대 눈 속에 비친 내 모습
이제는 내게서 그댈 비춰줄게
궂은 비가 오면
세상 가장 큰 그대 우산이 될게
그댄 편히 걸어가요
걷다가 지치면
내가 그대를 안고 어디든 갈게
이제 나만 믿어요
나만 두고 가던
나만 스쳐 간 행운이 모여
그대가 되어서 내게 와준 거야
궂은 비가 오면
세상 가장 큰 그대 우산이 될게
그댄 편히 걸어가요
걷다가 지치면
내가 그대를 안고 어디든 갈게
이제 나만 믿어요
나의 마지막 주인공이 되어
다신 누구 앞에서도
그대는 고개 숙이지 마요
내가 보지 못했던 홀로 고단했던 시간
고맙고 미안해요 사랑해요
이 세상은
우리를 두고 오랜 장난을 했고
우린 속지 않은 거야
이제 울지 마요
좋을 땐 밤새도록 맘껏 웃어요
전부 그대 꺼니까
그대는 걱정 말아요
이제 나만 믿어요",트로트
1,보금자리,"그대 사랑이 나였음 좋겠다
아무것도 필요 없어요
든든한 품에 안겨 잠들고 싶어라
내 사랑의 보금자리
아무것도 바라지 않아요
당신만 있으면 돼
한 눈 팔지 않고 사랑할래요
돈도 필요 없어 백도 필요 없어
당신만 있으면 돼
그대 사랑이 나였음 좋겠다
아무것도 필요 없어요
든든한 품에 안겨 잠들고 싶어라
내 사랑의 보금자리
아무것도 바라지 않아요
당신만 있으면 돼
한 눈 팔지 않고 사랑할래요
돈도 필요 없어 백도 필요 없어
당신만 있으면 돼
아무것도 바라지 않아요
당신만 있으면 돼
한 눈 팔지 않고 사랑할래요
돈도 필요 없어 백도 필요 없어
당신만 있으면 돼
당신만 있으면 돼",트로트
2,사랑역,"돌고 돌아 사랑역
다시 한번 내렸네
아픔만 두고 떠나가는
저 기차는 말이 없는데
이리 갈까 저리 갈까
몇 번을 물어보아도
돌아온 대답은 멀어지는
멀어지는 기적 소리뿐
아 아 아 사랑역 나에겐 눈물역
돌고 돌아 사랑역
다시 한번 내렸네
상처만 두고 떠나가는
저 기차는 말이 없는데
남은 짐 구겨 넣고
돌아서는 내 모습이
마주친 대합실 창 너머로
쓸쓸히 웃음 짓는다
아 아 아 사랑역 나에겐 눈물역
이리 갈까 저리 갈까
몇 번을 물어보아도
돌아온 대답은 멀어지는
멀어지는 기적 소리뿐
아 아 아 사랑역 나에겐 눈물역
나에겐 눈물역",트로트
3,사랑해요 그대를,"너무나 고마운 사람
너무나 따뜻한 사람
한 번도 잊어본 적 없는
내 마음속에 그 사람
나 그대 생각만 해도
가슴이 뭉클해지고
그런 당신 내 곁에 있어
나는 행복한 사람
그대는 나만의 사랑
그대는 나만의 행복
세월 가도 영원히
당신은 나만의 사랑
사랑해요 그대를
사랑해요 그대를
이 생명 다할 때까지
당신은 내 사랑
사랑해요 그대를
사랑해요 그대를
이 생명 다할 때까지
당신은 내사랑
그대는 나만의 사랑
그대는 나만의 행복
세월 가도 영원히
당신은 나만의 사랑
사랑해요 그대를
사랑해요 그대를
이 생명 다할 때까지
당신은 내 사랑
사랑해요 그대를
사랑해요 그대를
이 생명 다할 때까지
당신은 내 사랑",트로트
4,별빛 같은 나의 사랑아,"당신이 얼마나 내게
소중한 사람인지
세월이 흐르고 보니
이제 알 것 같아요
당신이 얼마나 내게
필요한 사람인지
세월이 지나고 보니
이제 알 것 같아요
밤하늘에 빛나는
별빛 같은 나의 사랑아
당신은 나의 영원한 사랑
사랑해요 사랑해요
날 믿고 따라준 사람
고마워요 행복합니다
왜 이리 눈물이 나요
밤하늘에 빛나는
별빛 같은 나의 사랑아
당신은 나의 영원한 사랑
사랑해요 사랑해요
날 믿고 따라준 사람
고마워요 행복합니다
왜 이리 눈물이 나요
왜 이리 눈물이 나요",트로트
5,니가 왜 거기서 나와 (Narr. 고은아),"어디야
집이야 피곤해서 일찍 자려구
아 그래 잠깐 볼랬더니
오늘 피곤했나 보네 언능 자
어 끊어
근데 니가
니가 왜 거기서 나와
니가 왜 거기서 나와
사랑을 믿었었는데
발등을 찍혔네
그래 너 그래 너 야 너
니가 왜 거기서 나와
피곤하다 하길래
잘자라 했는데
혹시나 아픈건가
걱정도 했는데
뭐하는데
여기서 뭐하는데
도대체
너네집은 연신내
난 지금 강남에
시끄런 클럽을
무심코 지나는데
이게 누구십니까
니가 왜 거기서 나와
니가 왜 거기서 나와
내 눈을 의심해보고
보고 또 보아도
딱봐도 너야
오마이 너야
니가 왜 거기서 나와
니가 왜 거기서 나와
사랑을 믿었었는데
발등을 찍혔네
그래 너 그래 너 야 너
이런건 사랑이 아냐
노는 남자 싫다매
술은 못한다매
그것 땜에 나는 다
끊어버렸는데
지금 넌 왜
혀가 꼬이는 건데
도대체
근데 지금 니 옆에
이 남잔 누군데
교회 오빠하고
클럽은 왜 왔는데
너네 집 불교잖아
니가 왜 거기서 나와
니가 왜 거기서 나와
내 눈을 의심해보고
보고 또 보아도
딱봐도 너야
오마이 너야
니가 왜 거기서 나와
니가 왜 거기서 나와
사랑을 믿었었는데
발등을 찍혔네
그래 너 그래 너 야너
이런건 사랑이 아냐
그래 너 그래 너 야너
니가 왜 거기서 나와",트로트
6,찐이야,"찐찐찐찐 찐이야 완전 찐이야
진짜가 나타났다 지금
찐찐찐찐 찐이야 완전 찐이야
찐하게 사랑할 거야
요즘 같이 가짜가 많은 세상에
믿을 사람 바로 당신 뿐
내 모든 걸 다 줘도 아깝지 않은
내 인생에 전부인 사람
끌리네 끌리네 자꾸 끌리네
쏠리네 쏠리네 자꾸 쏠리네
심장을 훔쳐간 사람
찐찐찐찐 찐이야 완전 찐이야
진짜가 나타났다 지금
찐찐찐찐 찐이야 완전 찐이야
찐하게 사랑할 거야
찐이야
요즘 같이 가짜가 많은 세상에
믿을 사람 바로 당신 뿐
내 모든 걸 다 줘도 아깝지 않은
내 인생에 전부인 사람
끌리네 끌리네 자꾸 끌리네
쏠리네 쏠리네 자꾸 쏠리네
심장을 훔쳐간 사람
찐찐찐찐 찐이야 완전 찐이야
진짜가 나타났다 지금
찐찐찐찐 찐이야 완전 찐이야
찐하게 사랑할 거야
찐하게 찐하게 찐하게 찐하게
찐하게 사랑할 거야",트로트
7,어느 60대 노부부이야기,"곱고 희던 그 손으로
넥타이를 메어주던 때
어렴풋이 생각나오
여보 그 때를 기억하오
막내아들 대학 시험
뜬 눈으로 지새던 밤들
어렴풋이 생각나오
여보 그 때를 기억하오
세월은 그렇게 흘러
여기까지 왔는데
인생은 그렇게 흘러
황혼에 기우는데
큰 딸아이 결혼식 날
흘리던 눈물 방울이
이제는 모두 말라
여보 그 눈물을 기억하오
세월은 그렇게 흘러
여기까지 왔는데
인생은 그렇게 흘러
황혼에 기우는데
세월은 그렇게 흘러
여기까지 왔는데
인생은 그렇게 흘러
황혼에 기우는데
다시 못 올 그 먼 길을
어찌 혼자 가려하오
여기 날 홀로 두고
여보 왜 한마디 말이 없소
여보 안녕히 잘 가시게
여보 안녕히",트로트
8,다시 사랑한다면 (김필 Ver.),"다시 태어난다면 다시 사랑한다면
그때는 우리 이러지 말아요
조금 덜 만나고 조금 덜 기대하며
많은 약속 않기로 해요
다시 이별이 와도 서로 큰 아픔 없이
돌아설 수 있을 만큼
버려도 되는 가벼운 추억만
서로의 가슴에 만들기로 해요
이젠 알아요 너무 깊은 사랑은
외려 슬픈 마지막을 가져 온다는 걸
그대여 빌게요 다음 번의 사랑은
우리 같지 않길 부디 아픔이 없이
나
꼭 나보다 더 행복해져야만 해
많은 시간이 흘러 서로 잊고 지내도
지난 날을 회상하며
그 때도 이건 사랑이었다고
말할 수 있다면 그걸로 된 거죠
이젠 알아요 너무 깊은 사랑은
외려 슬픈 마지막을 가져 온다는 걸
그대여 빌게요 다음 번의 사랑은
우리 같지 않길 부디 아픔이 없이
이젠 알아요 영원할 줄 알았던
그대와의 사랑마저 날 속였다는 게
그보다 슬픈 건 나 없이 그대가
행복하게 지낼 먼 훗날의 모습
나
내 마음을 하늘만은 알기를",트로트
9,초혼,"살아서는 갖지 못하는
그런 이름 하나 때문에
그리운 맘 눈물 속에
난 띄워 보낼 뿐이죠
스치듯 보낼 사람이
어쩌다 내게 들어와
장미의 가시로 남아서
날 아프게 지켜보네요
따라가면 만날 수 있나
멀고 먼 세상 끝까지
그대라면 어디라도
난 그저 행복할 테니

살아서는 갖지 못하는
그런 이름 하나 때문에
그리운 맘 눈물 속에
난 띄워 보낼 뿐이죠
스치듯 보낼 사람이
어쩌다 내게 들어와
장미의 가시로 남아서
날 아프게 지켜보네요
따라가면 만날 수 있나
멀고 먼 세상 끝까지
그대라면 어디라도
난 그저 행복할 테니
난 너무 행복할 테니",트로트
